str,vi,en,
ok,OK,Ok,
cancel,Huỷ,Cancel, 
confirm,Xác nhận,Confirm,
error,Lỗi,Error,
error_not_implemented,Không được thực hiện,Not implemented,
error_request_canceled,Yêu cầu đã bị hủy,Request cancelled,
error_internet_server_error,Lỗi máy chủ nội bộ,Internal server error,
error_service_unavailable,Dịch vụ không sẵn có,Service unavailable,
error_method_not_allowed,Phương thức không được phép,Method not allowed,
error_bad_request,Yêu cầu không hợp lệ,Bad request,
error_unauthorized_request,Yêu cầu chưa được xác thực,Unauthorized request,
error_unexpected_error,Đã xảy ra lỗi không mong muốn,Unexpected error occurred,
error_request_timeout,Hết thời gian chờ yêu cầu kết nối,Connection request timeout,
error_no_network_connection,Không có kết nối Internet,No internet connection,
error_send_timeout,Hết thời gian chờ yêu cầu gửi đến máy chủ,Connection send timeout,
error_conflict,Lỗi do xung đột,Error due to a conflict,
error_connect_to_server,Không thể kết nối tới server,Error connect to server,
error_unable_process_data,Không thể xử lý dữ liệu,Unable to process the data,
error_not_acceptable,Không được chấp nhận,Not acceptable,
error_invalid_status_code,Đã nhận mã trạng thái không hợp lệ: {},Received invalid status code: {},
error_not_found_api,Không tìm thấy API,Not found api,
error_can_not_connect_to_server,"DiaB không kết nối được với máy chủ, vui lòng kiểm tra lại kết nối Internet hoặc liên lạc với Hotline của chúng tôi",Error can not connect to server,
error_can_not_access_camera,Không có quyền truy cập camera,Error can not access camera,
current_language,Tiếng Việt,Vietnamese,
please_enter_email,Vui lòng nhập Email,Enter email,
please_enter_user_name,Vui lòng nhập Tên đăng nhập,Please enter user name,
please_enter_full_name,Vui lòng nhập Họ tên,Please enter full name,
please_enter_phone_number,Vui lòng nhập Số điện thoại,Please enter phone number,
please_enter_password,Vui lòng nhập Mật khẩu,Enter password,
please_enter_code,Vui lòng nhập Mã kích hoạt,Enter code,
please_enter_phone_number_or_email,Please enter phone number or email,Please enter phone number or email,
please_enter_new_password,Vui lòng nhập Mật khẩu mới,Please enter new password,
please_enter_confirm_password,Vui lòng nhập Mật khẩu mới,Please enter confirm password,
please_enter_curr_password,Vui lòng nhập Mật khẩu cũ,Please enter current password,
cannot_same_current_password,Mật khẩu không trùng khớp,Wrong current password,
email_not_valid,Email không hợp lệ,Unvalid email,
phone_not_valid,Số điện thoại không đúng định dạng,Unvalid phone number,
phone_email_not_valid,The phone number/email is not valid,Unvalid phone number/email,
user_name_at_least_character,Tên đăng nhập phải có ít nhất 4 kí tự,User name at least 4 character,
user_name_max_character,Tên đăng nhập không nhiều hơn 32 kí tự,User name max 32 character,
full_name_at_least_character,Họ tên phải có ít nhất 4 kí tự,Full name at least 4 character,
full_name_max_character,Họ tên không nhiều hơn 32 kí tự,Full name max 32 character,
password_not_match,Mật khẩu không khớp,Not match,
password_at_least_character,Mật khẩu phải có ít nhất 4 kí tự,Password at least 4 character,
password_max_character,Mật khẩu không nhiều hơn 32 kí tự,Max 32 character,
confirm_password_at_least_character,Xác nhận mật khẩu phải có ít nhất 4 kí tự,Confirm password at least 4 character,
confirm_password_max_character,Xác nhận mật khẩu không nhiều hơn 32 kí tự,Confirm password max 32 character,
login_google,Đăng nhập với Google,Google sign in,
login_facebook,Đăng nhập với Facebook,Facebook sign in,
login_email,Đăng nhập với Email,Email sign in,
login_welcome,Xin chào,Hello,
login_new_here,Chưa có tài khoản?,Sign up,
login_create_account,Tạo mới,Sign in,
login_get_start,Bắt đầu khám phá ứng dụng,Get start,
profile_title,Cá Nhân,Personal,
profile_information,Thông tin cá nhân,Personal Information,
profile_edit,Sửa,Change,
profile_user_name,Tài Khoản,Account,
profile_date_of_birth,Ngày sinh,Date of birth,
profile_bio,Mô tả,Description,
profile_change_avatar,Đổi,Change avatar,
profile_gallery,Thư viện,Library,
profile_camera,Máy ảnh,Camera,
tab_home,Trang chủ,Home,
tab_search,Tìm kiếm,Search,
tab_notification,Thông báo,Notification,
tab_profile,Cá nhân,Personal,
login_success,Đăng nhập thành công,Sign in success,
sign_up_success,Đăng ký thành công,Sign up success,
login,Đăng nhập,Sign in,
sign_in,Đăng nhập,Sign in,
sign_up,Đăng ký,Sign up,
username,Tên đăng nhập,Username,
email,Email,Email,
full_name,Họ tên,Full name,
phone_number,Số điện thoại,Phone number,
password,Mật khẩu,Password,
forgot_password,Quên mật khẩu?,Forgot password?,
home,Trang chủ,Home,
search,Tìm kiếm,Search,
back,Quay lại,Back,
logout,Đăng xuất,Log out,
logout_success,Đăng xuất thành công,Log out success,
delete,Xoá,Delete,
mute,Mute,Mute,
last_seen,last seen {},Last seen,
pinned_message,Tin nhắn ghim,Pinned message,
app_name,We One,
category,Danh mục,Category,
more,Xem thêm,See more,
notification,Thông báo,Notification,
account,Tài khoản,Account,
search_product,Tìm kiếm dịch vụ,Search product,
input_name,Nhập hộ và tên,Enter full name,
references_code,Mã kết nối bác sĩ của bạn,Your doctor code,
input_references_code,Nhập hoặc quét mã QR,Enter/scan qr code,
scan_references_code,Quét mã giới thiệu,Scan referal code,
update_profile_failure,Cập nhật thông tin chưa thành công,Profile update failure,
detail_address,Địa chỉ cụ thể,Address,
input_phone,Nhập số điện thoại,Phone number,
input_email,Nhập email,Email,
input_re_pass,Nhập lại mật khẩu,Re-input pass,
remember_password,Nhớ tài khoản,Remember password,
back_page,Quay lại trang trước,Back,
please_input_email,Vui lòng nhập email,Input email,
email_or_phone_number,Email/ Số điện thoại,Email or phone number,
input_pass,Nhập mật khẩu,Password,
input_email_or_phone_number,Nhập Email/ Số điện thoại,Input email or phone number,
please_input_phone_number,Vui lòng nhập số điện thoại,Please input phone number,
password_least_character,Mật khẩu ít nhất 06 ký tự,Least character,
email_phone_not_valid,Email hoặc số điện thoại không đúng,Email phone not valid,
setting,Thiết lập tài khoản,Setting,
help_center,Trung tâm trợ giúp,Help center,
blogs,Blogs,Blogs,
app_reviews,Đánh giá ứng dụng,App reviews,
profile,Thông tin tài khoản,Profile,
save,Lưu,Save,
name,Họ và tên,Name,
date_of_birth,Ngày sinh,Vietnamese,
change_password,Đổi mật khẩu,Change password,
curr_password,Nhập mật khẩu cũ,Log out,
sign_out,Đăng xuất,Vietnamese,
register_account,Đăng ký tài khoản,Sign up,
please_input_username,Vui lòng nhập Họ tên,Input username,
please_input_re_password,Vui lòng nhập xác thực mật khẩu,Please input re password,
confirm_password,Xác thực mật khẩu,Confirm password,
